Tractive System Board Rev8
Board Quantity,Ordering Quantity,Value,Reference,ATTRITION,CAPACITANCE,COLOR,CURRENT,CURRENT_RATED,CURRENT_SATURATION,DCR,DKPN,FUSE_TYPE,GAUGE,INDUCTANCE,MANUFACTURER,MOPN,MPN,POWER,RESISTANCE,TOLERANCE,VOLTAGE,VOLTAGE_CONTINUOUS,VOLTAGE_MAX,
2,12,LED_0603_GREEN,"D6, LED_+12V1",500,,Green,,,,,754-1790-1-ND,,,,Kingbright,604-APT1608ZGCK,APT1608ZGCK,,,,,,,
1,11,LED_0603_ORANGE,D5,1000,,Orange,,,,,754-1120-1-ND,,,,Kingbright,604-APT1608SECK,APT1608SECK,,,,,,,
1,11,LED_0603_YELLOW,D8,1000,,Yellow,,,,,754-1788-1-ND,,,,Kingbright,604-APT1608SYCK/J3-PRV,APT1608SYCK/J3-PRV,,,,,,,
1,5,LT8315,U6,200,,,,,,,505-LT8315HFE#PBF-ND,,,,Analog Devices Inc.,584-LT8315HFEPBF,LT8315HFE#PBF,,,,,,,
1,3,LTC6994-2,U10,200,,,,,,,505-LTC6994CS6-2#TRMPBFCT-ND,,,,Analog Devices Inc,584-C6994HS6-2TRMPBF,LTC6994HS6-2#TRMPBF,,,,,,,
1,2,RECEPTACLE-4_MICROFIT,O23,100,,,,,,,WM11225-ND,,,,Molex,538-43025-0408,430250408,,,,,,,
1,2,RECEPTACLE-6_SINGLE_MICROFIT,O3,100,,,,,,,WM13217-ND,,,,Molex,538-43645-0608,436450608,,,,,,,
1,2,RECEPTACLE-7_MICROFIT,O2,100,,,,,,,WM2405-ND,,,,Molex,538-43645-0700,436450700,,,,,,,
3,5,RECTIFIER_800V_SOD-123FA,"D9, D10, D11",67,,,1A,,,,US1KFACT-ND,,,,onsemi,512-US1KFA,US1KFA,,,,800V,,,
1,3,RELAY_SOLIDSTATE_NO_AB38S-Q-AIRGAP,U5,200,,,,,,,1835-1216-ND,,,,Comus International,,AB38S-Q,,,,600V,,,
1,3,RELAY_SPST_NO_D_24,K1,200,,,,,,,725-1048-ND,,,,Sensata-Cynergy3,285-DAR72410,DAR72410,,,,,,,
1,11,RESISTOR_0603_0.12,R51,1000,,,,,,,RHM1241CT-ND,,,,Rohm Semiconductor,755-UCR03EVPFLR120,UCR03EVPFLR120,0.25W,0.12,1%,,0.173V,,
1,11,RESISTOR_0603_1.65K,R18,1000,,,,,,,311-1.65KHRCT-ND,,,,Yageo,603-RC0603FR-071K65L,RC0603FR-071K65L,0.1W,1.65k,1%,,12.85V,75V,
1,11,RESISTOR_0603_10,R33,1000,,,,,,,311-10.0HRCT-ND,,,,Yageo,603-RC0603FR-0710RL,RC0603FR-0710RL,0.1W,10,1%,,1.00V,75V,
1,11,RESISTOR_0603_10K,R28,1000,,,,,,,P10KBDCT-ND,,,,Panasonic Electronic Components,667-ERA-3ARB103V,ERA-3ARB103V,0.1W,10k,0.1%,,31.62V,75V,
1,11,RESISTOR_0603_14K,R15,1000,,,,,,,RT0603BRB0714KL-ND,,,,YAGEO,603-RT0603BRB0714KL,RT0603BRB0714KL,0.1W,14k,0.1%,,37.4V,75V,
4,14,RESISTOR_0603_1K,"R26, R29, R31, R50",250,,,,,,,1712-CPF-A-0603B1K0ETR-ND,,,,TE Connectivity Passive Product,279-CPF-A-0603B1K0E,CPF-A-0603B1K0E,0.0625W,1k,0.1%,,7.9V,50V,
1,11,RESISTOR_0603_22.1K,R40,1000,,,,,,,P22.1KDBCT-ND,,,,Panasonic Electronic Components,667-ERA-3AEB2212V,ERA-3AEB2212V,0.1W,22.1k,0.1%,,47.01V,75V,
2,12,RESISTOR_0603_2K,"R25, R27",500,,,,,,,10-ERJ-UP3F2001VTR-ND,,,,Panasonic Electronic Components,667-ERJ-UP3F2001V,ERJ-UP3F2001V,0.25W,2k,1%,,22.36V,150V,
1,11,RESISTOR_0603_3.3K,R30,1000,,,,,,,P20340TR-ND,,,,Panasonic Electronic Components,667-ERJ-PB3D3301V,ERJ-PB3D3301V,0.3W,3.3k,0.5%,,25.69V,150,
1,11,RESISTOR_0603_39,R24,1000,,,,,,,13-RT0603BRD0739RLTR-ND,,,,Yageo,603-RT0603BRD0739RL,RT0603BRD0739RL,0.1W,39,1%,,1.97V,75V,
1,11,RESISTOR_0603_5.9K,R49,1000,,,,,,,P5.9KDBCT-ND,,,,Panasonic Electronic Components,667-ERA-3AEB5901V,ERA-3AEB5901V,0.1W,5.9k,0.1%,,24.29V,75V,
1,11,RESISTOR_0603_75K,R32,1000,,,,,,,RT0603BRE0775KL-ND,,,,Yageo,603-RT0603BRE0775KL,RT0603BRE0775KL,0.1W,75k,0.1%,,75V,75V,
3,13,RESISTOR_0603_DNP,"R1, R20, R42",333,,,,,,,,,,,,,,,DNP,,,,,
2,12,RESISTOR_0603_HV3.3K,"R55, R60",500,,,,,,,RHM3.3KAYTR-ND,,,,Rohm,755-KTR03EZPF3301,KTR03EZPF3301,0.1W,3.3k,1%,,18.17V,350V,
1,11,RESISTOR_0805_1M,R34,1000,,,,,,,P20936TR-ND,,,,Panasonic Electronic Components,667-ERJ-PB6B1004V,ERJ-PB6B1004V,0.25W,1M,0.1%,,150V,150V,
1,11,RESISTOR_0805_523K,R35,1000,,,,,,,P20904TR-ND,,,,Panasonic Electronic Components,667-ERJ-PB6B5233V,ERJ-PB6B5233V,0.25W,523k,0.1%,,150V,150V,
2,12,RESISTOR_0805_HV1M,"R54, R59",500,,,,,,,RHM1.00MAHTR-ND,,,,Rohm Semiconductor,755-KTR10EZPF1004,KTR10EZPF1004,0.125W,1M,1%,,353.5V,400V,
1,11,RESISTOR_0805_HV330K,R41,1000,,,,,,,RHM330KAHTR-ND,,,,Rohm Semiconductor,755-KTR10EZPF3303,KTR10EZPF3303,0.125W,330k,1%,,203.1V,400V,
6,16,RESISTOR_0805_HV365K,"R45, R46, R52, R53, R57, R58",167,,,,,,,RHM365KAHTR-ND,,,,Rohm,755-KTR10EZPF3653,KTR10EZPF3653,0.125W,365k,1%,,213V,350V,
2,12,RESISTOR_1206_HV4.99K,"R56, R61",500,,,,,,,RHM4.99KAICT-ND,,,,Rohm Semiconductor,755-KTR18EZPF4991,KTR18EZPF4991,0.25W,4.99k,1%,,35.32V,500V,
2,12,RESISTOR_1206_HV46.4K,"R47, R48",500,,,,,,,RHM46.4KAICT-ND,,,,Rohm Semiconductor,755-KTR18EZPF4642,KTR18EZPF4642,0.25W,46.4k,1%,,107.7V,500V,
2,4,RESISTOR_B20-SHORTENED_1.5K,"R13, R23",100,,,,,,,B20J1K5E-ND,,,,Ohmite,588-B20J1K5E,B20J1K5E,20W,1.5K,5%,,173V,750V,
1,3,SCHOTTKY_SOD323_30VV,D2,200,,,0.2A,,,,1514-CMDSH2-3TRPBFREECT-ND,,,,Central Semiconductor Corp,610-CMDSH2-3,CMDSH2-3 TR PBFREE,,,,30V,,,
1,3,SCHOTTKY_SOD323_60V,D100,200,,,1A,,,,3757-MBR1060HEWS_R1_00001TR-ND,,,,Panjit International Inc.,241-MBR1060HEWSR1000,MBR1060HEWS_R1_00001,,,,60V,,,
21,23,TEST_POINT,"+5V, +24V, EN/UVLO, GND, IP+, IP-, IT+, IT-, PACK+, PACK+FUSED, PACK_HLDO, PACK_INP, PACK_ISO_DIAG, PRECHARGE_OK, SHDN, TS+12V, TS-FUSED, TS-UNFUSED, TS_HLDO, TS_INP, TS_ISO_DIAG",10,,,,,,,36-5015CT-ND,,,,Keystone Electronics,534-5015,5015,,,,,,,
1,3,TRANSISTOR_N_MOS__PMV15ENEA,Q2,200,,,,,,,1727-8588-1-ND,,,,Nexperia USA Inc.,771-PMV15ENEAR,PMV15ENEAR,,,,,,,
1,3,TVS__8V,D7,200,,,,,,,GSOT08-E3-08TR-ND,,,,Vishay General Semiconductor - Diodes Division,78-GSOT08-E3-08,GSOT08-E3-08,,,,8V,,,
1,3,VOLTAGE_REGULATOR_MODULE_OKI-78SR_5V,A1,200,,,,,,,811-2196-5-ND,,,,Murata Power Solutions Inc.,580-OKI78SR5/1.5W36C,OKI-78SR-5/1.5-W36-C,,,,,,,
1,3,ZENER_SMB(DO-214AA)_13V,D12,200,,,0.385A,,,,SMBJ5350B-TPMSCT-ND,,,,Micro Commercial Co,833-SMBJ5350B-TP,SMBJ5350B-TP,,,,13V,,,
